protein_ac,gene_name,protein_name,entrez_id
Q8N3T1,GALNT15,Polypeptide N-acetylgalactosaminyltransferase 15,117248
Q86XE5,HOGA1,4-hydroxy-2-oxoglutarate aldolase,112817
Q5VX52,SPATA1,Spermatogenesis-associated protein 1,100505741
P68400,CSNK2A1,Casein kinase II subunit alpha,1457
Q969S8,HDAC10,Polyamine deacetylase HDAC10,83933
P14625,HSP90B1,Endoplasmin,7184
Q9NUQ7,UFSP2,Ufm1-specific protease 2,55325
Q7Z5M8,ABHD12B,Protein ABHD12B,145447
P40967,PMEL,Melanocyte protein PMEL,6490
Q6FIF0,ZFAND6,AN1-type zinc finger protein 6,54469
Q8IWB1,ITPRIP,Inositol 1,85450
Q9HC73,CRLF2,Cytokine receptor-like factor 2,64109
Q9BY42,RTF2,Replication termination factor 2,51507
Q96QP1,ALPK1,Alpha-protein kinase 1,80216
Q8N682,DRAM1,DNA damage-regulated autophagy modulator protein 1,55332
P45954,ACADSB,Short/branched chain specific acyl-CoA dehydrogenase,36
Q9H772,GREM2,Gremlin-2,64388
Q01415,GALK2,N-acetylgalactosamine kinase,2585
Q9NRS4,TMPRSS4,Transmembrane protease serine 4,56649
Q8IYE1,CCDC13,Coiled-coil domain-containing protein 13,152206
Q7Z736,PLEKHH3,Pleckstrin homology domain-containing family H member 3,79990
Q9NWT1,PAK1IP1,p21-activated protein kinase-interacting protein 1,55003
Q5MJ70,SPDYA,Speedy protein A,245711
P0C7U0,ELFN1,Protein ELFN1,392617
Q12972,PPP1R8,Nuclear inhibitor of protein phosphatase 1,5511
Q9C075,KRT23,Keratin,25984
Q8TF46,DIS3L,DIS3-like exonuclease 1,115752
O00462,MANBA,Beta-mannosidase,4126
P50539,MXI1,Max-interacting protein 1,4601
Q9GZV4,EIF5A2,Eukaryotic translation initiation factor 5A-2,56648
P01011,SERPINA3,Alpha-1-antichymotrypsin,12
Q9UBL0,ARPP21,cAMP-regulated phosphoprotein 21,10777
Q9UBX3,SLC25A10,Mitochondrial dicarboxylate carrier,1468
Q8WYB5,KAT6B,Histone acetyltransferase KAT6B,23522
Q9Y3B4,SF3B6,Splicing factor 3B subunit 6,51639
Q15649,ZNHIT3,Zinc finger HIT domain-containing protein 3,9326
Q8IYD8,FANCM,Fanconi anemia group M protein,57697
Q8N8H1,ZNF321P,Putative protein ZNF321,100529240
O60810,PRAMEF4,PRAME family member 4,400735
Q969L2,MAL2,Protein MAL2,114569
P01286,GHRH,Somatoliberin,2691
Q9NRF2,SH2B1,SH2B adapter protein 1,25970
Q2KHN1,RNF151,RING finger protein 151,146310
Q8N5J4,SPIC,Transcription factor Spi-C,121599
Q6T4R5,NHS,Nance-Horan syndrome protein,4810
P62263,RPS14,40S ribosomal protein S14,6208
Q5T9C9,PIP5KL1,Phosphatidylinositol 4-phosphate 5-kinase-like protein 1,138429
Q8NHV1,GIMAP7,GTPase IMAP family member 7,168537
Q16881,TXNRD1,Thioredoxin reductase 1,7296
Q8NBQ5,HSD17B11,Estradiol 17-beta-dehydrogenase 11,51170
Q99795,GPA33,Cell surface A33 antigen,10223
P07288,KLK3,Prostate-specific antigen,354
Q8TBH0,ARRDC2,Arrestin domain-containing protein 2,27106
Q86Y01,DTX1,E3 ubiquitin-protein ligase DTX1,1840
Q8N6G5,CSGALNACT2,Chondroitin sulfate N-acetylgalactosaminyltransferase 2,55454
Q6JEL2,KLHL10,Kelch-like protein 10,317719
Q9Y519,TMEM184B,Transmembrane protein 184B,25829
P14784,IL2RB,Interleukin-2 receptor subunit beta,3560
Q12983,BNIP3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,664
Q9NVA4,TMEM184C,Transmembrane protein 184C,55751
Q8NE35,CPEB3,Cytoplasmic polyadenylation element-binding protein 3,22849
P11172,UMPS,Uridine 5'-monophosphate synthase,7372
Q8N8N0,RNF152,E3 ubiquitin-protein ligase RNF152,220441
Q12836,ZP4,Zona pellucida sperm-binding protein 4,57829
Q16650,TBR1,T-box brain protein 1,10716
P51116,FXR2,Fragile X mental retardation syndrome-related protein 2,9513
Q9H1Y3,OPN3,Opsin-3,23596
Q9H3N8,HRH4,Histamine H4 receptor,59340
Q9P2G9,KLHL8,Kelch-like protein 8,57563
O95427,PIGN,GPI ethanolamine phosphate transferase 1,23556
Q9H9J2,MRPL44,39S ribosomal protein L44,65080
Q96L08,SUSD3,Sushi domain-containing protein 3,203328
P25787,PSMA2,Proteasome subunit alpha type-2,5683
P02748,C9,Complement component C9,735
Q9BQY4,RHOXF2,Rhox homeobox family member 2,84528
Q8WY91,THAP4,THAP domain-containing protein 4,51078
O75438,NDUFB1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,4707
A6H8Y1,BDP1,Transcription factor TFIIIB component B'' homolog,55814
Q13488,TCIRG1,V-type proton ATPase 116 kDa subunit a isoform 3,10312
Q86UK7,ZNF598,E3 ubiquitin-protein ligase ZNF598,90850
A2RU48,SMCO3,Single-pass membrane and coiled-coil domain-containing protein 3,440087
Q8TBE1,CNIH3,Protein cornichon homolog 3,149111
Q9H6R7,WDCP,WD repeat and coiled-coil-containing protein,80304
P49759,CLK1,Dual specificity protein kinase CLK1,1195
Q6PD74,AAGAB,Alpha- and gamma-adaptin-binding protein p34,79719
Q16548,BCL2A1,Bcl-2-related protein A1,597
Q8WW22,DNAJA4,DnaJ homolog subfamily A member 4,55466
Q16568,CARTPT,Cocaine- and amphetamine-regulated transcript protein,9607
Q969S0,SLC35B4,UDP-xylose and UDP-N-acetylglucosamine transporter,84912
Q8N653,LZTR1,Leucine-zipper-like transcriptional regulator 1,8216
Q8TCB7,METTL6,tRNA N(3)-methylcytidine methyltransferase METTL6,131965
Q15365,PCBP1,Poly(rC)-binding protein 1,5093
Q15118,PDK1,[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1,5163
Q9Y2Q5,LAMTOR2,Ragulator complex protein LAMTOR2,28956
Q9NY35,CLDND1,Claudin domain-containing protein 1,56650
P01567,IFNA7,Interferon alpha-7,3444
P47736,RAP1GAP,Rap1 GTPase-activating protein 1,5909
Q15185,PTGES3,Prostaglandin E synthase 3,10728
Q14123,PDE1C,Calcium/calmodulin-dependent 3',5137
O94817,ATG12,Ubiquitin-like protein ATG12,9140
Q9Y6P5,SESN1,Sestrin-1,27244
O75436,VPS26A,Vacuolar protein sorting-associated protein 26A,9559
P51790,CLCN3,H(+)/Cl(-) exchange transporter 3,1182
P17936,IGFBP3,Insulin-like growth factor-binding protein 3,3486
Q6PEX3,KRTAP26-1,Keratin-associated protein 26-1,388818
Q9H461,FZD8,Frizzled-8,8325
P49639,HOXA1,Homeobox protein Hox-A1,3198
P27658,COL8A1,Collagen alpha-1(VIII) chain,1295
P13236,CCL4,C-C motif chemokine 4,6351
Q13868,EXOSC2,Exosome complex component RRP4,23404
Q96PE7,MCEE,Methylmalonyl-CoA epimerase,84693
Q14019,COTL1,Coactosin-like protein,23406
Q9H9L7,AKIRIN1,Akirin-1,79647
Q5HYN5,CT45A1,Cancer/testis antigen family 45 member A1,541466
Q8N5H3,FAM89B,Leucine repeat adapter protein 25,23625
O75764,TCEA3,Transcription elongation factor A protein 3,6920
Q9P215,POGK,Pogo transposable element with KRAB domain,57645
Q96I45,TMEM141,Transmembrane protein 141,85014
O15535,ZSCAN9,Zinc finger and SCAN domain-containing protein 9,7746
P12980,LYL1,Protein lyl-1,4066
Q5SVZ6,ZMYM1,Zinc finger MYM-type protein 1,79830
Q9UHP3,USP25,Ubiquitin carboxyl-terminal hydrolase 25,29761
Q96CB8,INTS12,Integrator complex subunit 12,57117
Q86UW9,DTX2,Probable E3 ubiquitin-protein ligase DTX2,113878
A8MXV6,CDRT15L2,CMT1A duplicated region transcript 15 protein-like protein,256223
Q96L50,LRR1,Leucine-rich repeat protein 1,122769
Q14674,ESPL1,Separin,9700
Q5VZP5,DUSP27,Inactive dual specificity phosphatase 27,92235
Q9BRR6,ADPGK,ADP-dependent glucokinase,83440
P56377,AP1S2,AP-1 complex subunit sigma-2,8905
Q8NBQ7,AQP11,Aquaporin-11,282679
Q8N720,ZNF655,Zinc finger protein 655,79027
Q8TEW0,PARD3,Partitioning defective 3 homolog,56288
Q8NAC3,IL17RC,Interleukin-17 receptor C,84818
Q6UX27,VSTM1,V-set and transmembrane domain-containing protein 1,284415
Q99816,TSG101,Tumor susceptibility gene 101 protein,7251
P41091,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3,1968
Q9UGI6,KCNN3,Small conductance calcium-activated potassium channel protein 3,3782
Q96L58,B3GALT6,Beta-1,126792
O43364,HOXA2,Homeobox protein Hox-A2,3199
Q8WZ73,RFFL,E3 ubiquitin-protein ligase rififylin,117584
Q9UI95,MAD2L2,Mitotic spindle assembly checkpoint protein MAD2B,10459
Q8TDQ7,GNPDA2,Glucosamine-6-phosphate isomerase 2,132789
Q13901,C1D,Nuclear nucleic acid-binding protein C1D,10438
Q8NC54,KCT2,Keratinocyte-associated transmembrane protein 2,56951
O95793,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,6780
Q9ULD9,ZNF608,Zinc finger protein 608,57507
Q9NSY0,NRBP2,Nuclear receptor-binding protein 2,340371
Q6UWN5,LYPD5,Ly6/PLAUR domain-containing protein 5,284348
Q9NPR2,SEMA4B,Semaphorin-4B,10509
P41227,NAA10,N-alpha-acetyltransferase 10,8260
Q5VZY2,PLPP4,Phospholipid phosphatase 4,196051
Q9BY66,KDM5D,Lysine-specific demethylase 5D,8284
Q9BTE0,NAT9,N-acetyltransferase 9,26151
Q3B7T3,BEAN1,Protein BEAN1,146227
Q9P2E7,PCDH10,Protocadherin-10,57575
Q16644,MAPKAPK3,MAP kinase-activated protein kinase 3,7867
Q9BUE0,MED18,Mediator of RNA polymerase II transcription subunit 18,54797
Q96D05,FAM241B,Protein FAM241B,219738
Q8TDX9,PKD1L1,Polycystic kidney disease protein 1-like 1,168507
P17661,DES,Desmin,1674
Q5K4L6,SLC27A3,Solute carrier family 27 member 3,11000
O60260,PRKN,E3 ubiquitin-protein ligase parkin,5071
Q13007,IL24,Interleukin-24,11009
P14649,MYL6B,Myosin light chain 6B,140465
Q9Y5Z4,HEBP2,Heme-binding protein 2,23593
P83110,HTRA3,Serine protease HTRA3,94031
Q9H300,PARL,Presenilins-associated rhomboid-like protein,55486
O60667,FCMR,Fas apoptotic inhibitory molecule 3,9214
Q7Z713,ANKRD37,Ankyrin repeat domain-containing protein 37,353322
O60683,PEX10,Peroxisome biogenesis factor 10,5192
O94886,TMEM63A,CSC1-like protein 1,9725
Q6BEB4,SP5,Transcription factor Sp5,389058
Q14118,DAG1,Dystroglycan,1605
P78329,CYP4F2,Cytochrome P450 4F2,8529
Q9H4X1,RGCC,Regulator of cell cycle RGCC,28984
Q9P209,CEP72,Centrosomal protein of 72 kDa,55722
P30968,GNRHR,Gonadotropin-releasing hormone receptor,2798
A0JNW5,UHRF1BP1L,UHRF1-binding protein 1-like,23074
Q9Y3I0,RTCB,RNA-splicing ligase RtcB homolog,51493
Q5XKE5,KRT79,Keratin,338785
Q5SW79,CEP170,Centrosomal protein of 170 kDa,9859
P32971,TNFSF8,Tumor necrosis factor ligand superfamily member 8,944
Q9H900,ZWILCH,Protein zwilch homolog,55055
Q9UGM3,DMBT1,Deleted in malignant brain tumors 1 protein,1755
Q14677,CLINT1,Clathrin interactor 1,9685
Q9BVS4,RIOK2,Serine/threonine-protein kinase RIO2,55781
Q8N5Q1,FAM71E2,Protein FAM71E2,284418
Q15784,NEUROD2,Neurogenic differentiation factor 2,4761
Q8N307,MUC20,Mucin-20,200958
Q9NZ01,TECR,Very-long-chain enoyl-CoA reductase,9524
Q5JZY3,EPHA10,Ephrin type-A receptor 10,284656
Q9P2K2,TXNDC16,Thioredoxin domain-containing protein 16,57544
Q9NWU5,MRPL22,39S ribosomal protein L22,29093
Q9BTN0,LRFN3,Leucine-rich repeat and fibronectin type-III domain-containing protein 3,79414
Q8NDT2,RBM15B,Putative RNA-binding protein 15B,29890
Q04609,FOLH1,Glutamate carboxypeptidase 2,2346
Q9P2Y4,ZNF219,Zinc finger protein 219,51222
Q9H869,YY1AP1,YY1-associated protein 1,55249
Q99665,IL12RB2,Interleukin-12 receptor subunit beta-2,3595
P19961,AMY2B,Alpha-amylase 2B,280
O77932,DXO,Decapping and exoribonuclease protein,1797
P35713,SOX18,Transcription factor SOX-18,54345
Q96T55,KCNK16,Potassium channel subfamily K member 16,83795
Q9NQZ3,DAZ1,Deleted in azoospermia protein 1,1617
P05156,CFI,Complement factor I,3426
Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1,55832
P98177,FOXO4,Forkhead box protein O4,4303
Q8WZA2,RAPGEF4,Rap guanine nucleotide exchange factor 4,11069
Q9BPZ2,SPIN2B,Spindlin-2B,474343
Q9HA82,CERS4,Ceramide synthase 4,79603
Q96IW2,SHD,SH2 domain-containing adapter protein D,56961
Q6ZRH7,CATSPERG,Cation channel sperm-associated protein subunit gamma,57828
Q6ZUT9,DENND5B,DENN domain-containing protein 5B,160518
Q8NE63,HIPK4,Homeodomain-interacting protein kinase 4,147746
Q9H1M0,NUP62CL,Nucleoporin-62 C-terminal-like protein,54830
O60262,GNG7,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7,2788
Q9NQ25,SLAMF7,SLAM family member 7,57823
Q9BX82,ZNF471,Zinc finger protein 471,57573
Q99963,SH3GL3,Endophilin-A3,6457
P00747,PLG,Plasminogen,5340
Q8N3S3,PHTF2,Putative homeodomain transcription factor 2,57157
Q14525,KRT33B,Keratin,3884
Q16706,MAN2A1,Alpha-mannosidase 2,4124
Q9NS37,CREBZF,CREB/ATF bZIP transcription factor,58487
Q9H6H4,REEP4,Receptor expression-enhancing protein 4,80346
O95789,ZMYM6,Zinc finger MYM-type protein 6,9204
Q53HV7,SMUG1,Single-strand selective monofunctional uracil DNA glycosylase,23583
Q9H1E5,TMX4,Thioredoxin-related transmembrane protein 4,56255
O43734,TRAF3IP2,Adapter protein CIKS,10758
Q96AV8,E2F7,Transcription factor E2F7,144455
Q5VT52,RPRD2,Regulation of nuclear pre-mRNA domain-containing protein 2,23248
P51610,HCFC1,Host cell factor 1,3054
P60903,S100A10,Protein S100-A10,6281
Q92625,ANKS1A,Ankyrin repeat and SAM domain-containing protein 1A,23294
Q15125,EBP,3-beta-hydroxysteroid-Delta(8),10682
P02741,CRP,C-reactive protein,1401
P33778,HIST1H2BB,Histone H2B type 1-B,3018
P08218,CELA2B,Chymotrypsin-like elastase family member 2B,51032
Q9BYI3,FAM126A,Hyccin,84668
Q9Y2D2,SLC35A3,UDP-N-acetylglucosamine transporter,23443
Q9HAU5,UPF2,Regulator of nonsense transcripts 2,26019
Q96K19,RNF170,E3 ubiquitin-protein ligase RNF170,81790
Q9NSK0,KLC4,Kinesin light chain 4,89953
Q9HAN9,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,64802
O95473,SYNGR4,Synaptogyrin-4,23546
O15496,PLA2G10,Group 10 secretory phospholipase A2,8399
Q7L2J0,MEPCE,7SK snRNA methylphosphate capping enzyme,56257
Q96I99,SUCLG2,Succinate--CoA ligase [GDP-forming] subunit beta,8801
P26045,PTPN3,Tyrosine-protein phosphatase non-receptor type 3,5774
O00294,TULP1,Tubby-related protein 1,7287
Q96AY4,TTC28,Tetratricopeptide repeat protein 28,23331
P28074,PSMB5,Proteasome subunit beta type-5,5693
Q8IX07,ZFPM1,Zinc finger protein ZFPM1,161882
O00254,F2RL2,Proteinase-activated receptor 3,2151
Q96F05,C11orf24,Uncharacterized protein C11orf24,53838
Q9H9H4,VPS37B,Vacuolar protein sorting-associated protein 37B,79720
Q8N7W2,BEND7,BEN domain-containing protein 7,222389
Q0P5N6,ARL16,ADP-ribosylation factor-like protein 16,339231
Q9NUL5,SHFL,Shiftless antiviral inhibitor of ribosomal frameshifting protein,55337
Q5T7W0,ZNF618,Zinc finger protein 618,114991
Q68DQ2,CRYBG3,Very large A-kinase anchor protein,131544
Q86YD5,LDLRAD3,Low-density lipoprotein receptor class A domain-containing protein 3,143458
Q6P2C8,MED27,Mediator of RNA polymerase II transcription subunit 27,9442
Q9Y5B9,SUPT16H,FACT complex subunit SPT16,11198
Q9UN70,PCDHGC3,Protocadherin gamma-C3,5098
Q5T752,LCE1D,Late cornified envelope protein 1D,353134
Q9NR34,MAN1C1,Mannosyl-oligosaccharide 1,57134
Q7RTS9,DYM,Dymeclin,54808
Q9Y3F4,STRAP,Serine-threonine kinase receptor-associated protein,11171
Q9ULT6,ZNRF3,E3 ubiquitin-protein ligase ZNRF3,84133
P46108,CRK,Adapter molecule crk,1398
A6NHJ4,ZNF860,Zinc finger protein 860,344787
P01903,HLA-DRA,HLA class II histocompatibility antigen,3122
Q8NAT2,TDRD5,Tudor domain-containing protein 5,163589
Q8WWZ4,ABCA10,ATP-binding cassette sub-family A member 10,10349
P41180,CASR,Extracellular calcium-sensing receptor,846
Q12879,GRIN2A,Glutamate receptor ionotropic,2903
P55084,HADHB,Trifunctional enzyme subunit beta,3032
Q8IYG6,LRRC56,Leucine-rich repeat-containing protein 56,115399
Q6P2D8,XRRA1,X-ray radiation resistance-associated protein 1,143570
Q86XE3,MICU3,Calcium uptake protein 3,286097
Q9GZN8,C20orf27,UPF0687 protein C20orf27,54976
P35240,NF2,Merlin,4771
Q8NDB2,BANK1,B-cell scaffold protein with ankyrin repeats,55024
Q8NCI6,GLB1L3,Beta-galactosidase-1-like protein 3,112937
Q9BXJ1,C1QTNF1,Complement C1q tumor necrosis factor-related protein 1,114897
Q08431,MFGE8,Lactadherin,4240
A2AJT9,BCLAF3,BCLAF1 and THRAP3 family member 3,256643
O15370,SOX12,Transcription factor SOX-12,6666
Q86UU0,BCL9L,B-cell CLL/lymphoma 9-like protein,283149
Q6ZUB1,SPATA31E1,Spermatogenesis-associated protein 31E1,286234
P56202,CTSW,Cathepsin W,1521
Q96Q15,SMG1,Serine/threonine-protein kinase SMG1,23049
Q9UBY9,HSPB7,Heat shock protein beta-7,27129
P59190,RAB15,Ras-related protein Rab-15,376267
Q09FC8,ZNF415,Zinc finger protein 415,55786
Q9UBP6,METTL1,tRNA (guanine-N(7)-)-methyltransferase,4234
Q96MW1,CCDC43,Coiled-coil domain-containing protein 43,124808
Q14542,SLC29A2,Equilibrative nucleoside transporter 2,3177
P31153,MAT2A,S-adenosylmethionine synthase isoform type-2,4144
Q8WVK7,SKA2,Spindle and kinetochore-associated protein 2,348235
Q8WXX0,DNAH7,Dynein heavy chain 7,56171
Q9UNZ2,NSFL1C,NSFL1 cofactor p47,55968
Q9NV29,TMEM100,Transmembrane protein 100,55273
P01042,KNG1,Kininogen-1,3827
Q7Z434,MAVS,Mitochondrial antiviral-signaling protein,57506
Q2VY69,ZNF284,Zinc finger protein 284,342909
Q8NG68,TTL,Tubulin--tyrosine ligase,150465
O43674,NDUFB5,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5,4711
Q9NUY8,TBC1D23,TBC1 domain family member 23,55773
Q14469,HES1,Transcription factor HES-1,3280
Q9BTE7,DCUN1D5,DCN1-like protein 5,84259
Q9NY65,TUBA8,Tubulin alpha-8 chain,51807
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,1778
Q8TAL5,C9orf43,Uncharacterized protein C9orf43,257169
Q6UE05,TMEM270,Transmembrane protein 270,135886
Q49B96,COX19,Cytochrome c oxidase assembly protein COX19,90639
P11908,PRPS2,Ribose-phosphate pyrophosphokinase 2,5634
Q8N271,PROM2,Prominin-2,150696
Q05996,ZP2,Zona pellucida sperm-binding protein 2,7783
Q5FWE3,PRRT3,Proline-rich transmembrane protein 3,285368
Q9UP52,TFR2,Transferrin receptor protein 2,7036
Q8N8Q3,ENDOV,Endonuclease V,284131
P61956,SUMO2,Small ubiquitin-related modifier 2,6613
Q02223,TNFRSF17,Tumor necrosis factor receptor superfamily member 17,608
Q12770,SCAP,Sterol regulatory element-binding protein cleavage-activating protein,22937
Q6UW01,CBLN3,Cerebellin-3,643866
Q9UM07,PADI4,Protein-arginine deiminase type-4,23569
Q8TAC2,JOSD2,Josephin-2,126119
P16066,NPR1,Atrial natriuretic peptide receptor 1,4881
Q9Y5Y2,NUBP2,Cytosolic Fe-S cluster assembly factor NUBP2,10101
Q96PV6,LENG8,Leukocyte receptor cluster member 8,114823
Q5T848,GPR158,Probable G-protein coupled receptor 158,57512
Q9NX45,SOHLH2,Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2,54937
P17029,ZKSCAN1,Zinc finger protein with KRAB and SCAN domains 1,7586
Q96KA5,CLPTM1L,Cleft lip and palate transmembrane protein 1-like protein,81037
Q12888,TP53BP1,TP53-binding protein 1,7158
Q9UK97,FBXO9,F-box only protein 9,26268
Q6UX41,BTNL8,Butyrophilin-like protein 8,79908
P24593,IGFBP5,Insulin-like growth factor-binding protein 5,3488
Q15370,ELOB,Elongin-B,6923
Q9UKK3,PARP4,Protein mono-ADP-ribosyltransferase PARP4,143
Q9BZ76,CNTNAP3,Contactin-associated protein-like 3,79937
P78312,FAM193A,Protein FAM193A,8603
P05181,CYP2E1,Cytochrome P450 2E1,1571
Q9H8G1,ZNF430,Zinc finger protein 430,80264
Q9Y2X8,UBE2D4,Ubiquitin-conjugating enzyme E2 D4,51619
Q76KD6,SPATC1,Speriolin,375686
Q8N387,MUC15,Mucin-15,143662
Q14527,HLTF,Helicase-like transcription factor,6596
Q9UM01,SLC7A7,Y+L amino acid transporter 1,9056
Q9BQY9,DBNDD2,Dysbindin domain-containing protein 2,55861
Q9Y3D7,PAM16,Mitochondrial import inner membrane translocase subunit TIM16,51025
P61088,UBE2N,Ubiquitin-conjugating enzyme E2 N,7334
O00411,POLRMT,DNA-directed RNA polymerase,5442
P98179,RBM3,RNA-binding protein 3,5935
P20813,CYP2B6,Cytochrome P450 2B6,1555
Q4W5P6,TMEM155,Protein TMEM155,132332
Q9BXA5,SUCNR1,Succinate receptor 1,56670
Q6UXT9,ABHD15,Protein ABHD15,116236
Q9H609,ZNF576,Zinc finger protein 576,79177
Q7Z6G3,NECAB2,N-terminal EF-hand calcium-binding protein 2,54550
Q86UW1,SLC51A,Organic solute transporter subunit alpha,200931
P51671,CCL11,Eotaxin,6356
Q9Y5U8,MPC1,Mitochondrial pyruvate carrier 1,51660
Q96A32,MYLPF,Myosin regulatory light chain 2,29895
Q6NYC1,JMJD6,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,23210
P52790,HK3,Hexokinase-3,3101
P27987,ITPKB,Inositol-trisphosphate 3-kinase B,3707
P08670,VIM,Vimentin,7431
Q01362,MS4A2,High affinity immunoglobulin epsilon receptor subunit beta,2206
Q86SG7,LYG2,Lysozyme g-like protein 2,254773
Q6ZTQ3,RASSF6,Ras association domain-containing protein 6,166824
O95834,EML2,Echinoderm microtubule-associated protein-like 2,24139
Q6ZUT6,CCDC9B,Coiled-coil domain-containing protein 9B,388115
Q8N587,ZNF561,Zinc finger protein 561,93134
P26006,ITGA3,Integrin alpha-3,3675
Q9P0M6,H2AFY2,Core histone macro-H2A.2,55506
Q5U4P2,ASPHD1,Aspartate beta-hydroxylase domain-containing protein 1,253982
Q9NWS9,ZNF446,Zinc finger protein 446,55663
P54105,CLNS1A,Methylosome subunit pICln,1207
Q6NTE8,MRNIP,MRN complex-interacting protein,51149
O95395,GCNT3,Beta-1,9245
Q460N3,PARP15,Protein mono-ADP-ribosyltransferase PARP15,165631
Q99611,SEPHS2,Selenide,22928
Q9UFG5,C19orf25,UPF0449 protein C19orf25,148223
P07101,TH,Tyrosine 3-monooxygenase,7054
P02766,TTR,Transthyretin,7276
Q7RTT5,SSX7,Protein SSX7,280658
Q13033,STRN3,Striatin-3,29966
Q96GR4,ZDHHC12,Probable palmitoyltransferase ZDHHC12,84885
Q14004,CDK13,Cyclin-dependent kinase 13,8621
